Date,FR10,FRB0,FRC1,FRC2,FRD1,FRD2,FRE1,FRE2,FRF1,FRF2,FRF3,FRG0,FRH0,FRI1,FRI2,FRI3,FRJ1,FRJ2,FRK1,FRK2,FRL0
2015-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-10,272.836356666667,272.628465,271.790194583333,270.242032083333,275.317142083333,274.875834166667,275.49407125,273.980403333333,271.6240175,272.202198333333,272.00382375,273.745775416667,278.927750833333,272.49171625,272.30860125,272.322457083333,273.7759125,271.75119875,271.33455875,270.35734,274.567892083333
2015-01-11,277.474847916667,276.288960416667,273.883822916667,272.886705416667,280.43785,279.792575416667,279.91898875,278.426175833333,273.304999166667,275.089255416667,273.8630475,280.081739166667,282.084278333333,274.781066666667,274.872070833333,275.604389166667,277.348185833333,274.28756625,274.806067083333,273.435950833333,276.504260416667
2015-01-12,280.304458333333,281.712695833333,279.83914,277.61695875,281.922190833333,280.647740833333,277.622934583333,278.71411875,277.243624583333,278.678294166667,277.590884166667,283.329490833333,283.772121666667,280.554759166667,279.390485833333,283.017536666667,280.964455416667,278.25317125,279.66937875,278.250692083333,279.40225625
2015-01-13,277.069968333333,280.106072083333,278.680874583333,276.824438333333,279.261791666667,276.984771666667,276.0197075,276.2780725,275.688469166667,275.934509166667,274.8971575,282.308825,282.869095,283.995122083333,281.39629,283.437119583333,282.571177916667,281.790061666667,279.789205416667,278.75176,280.174097083333
2015-01-14,272.66157125,275.002449166667,272.887055416667,271.925894583333,277.871382916667,275.606687916667,274.6650375,273.414274583333,272.350666666667,271.68942,271.7231975,278.377132083333,281.02240875,278.34582625,276.967441666667,277.834786666667,277.839062916667,277.748089166667,275.07002125,272.647201666667,275.223880833333
2015-01-15,273.755220416667,275.030266666667,272.798660416667,271.276279166667,277.372435833333,275.779248333333,274.645495833333,273.889293333333,271.93809125,272.30087875,271.602318333333,278.417316666667,280.046265833333,278.75392375,275.4188025,277.236475416667,276.581411666667,276.364785416667,274.230061666667,271.656104583333,273.997137083333
2015-01-16,276.4466225,279.00086,276.708618333333,274.339332083333,275.94991,275.847182916667,275.970742083333,275.268703333333,274.748864166667,275.336454166667,274.788438333333,278.180387083333,277.896214166667,279.938745,278.24705875,280.948014583333,277.64978,277.915954166667,277.24988375,273.263949583333,274.118931666667
2015-01-17,281.312462083333,281.789035,280.6502075,278.672855,281.8582575,281.3642575,280.612325416667,280.783455416667,279.2999425,280.38249125,279.39753,282.626017083333,283.21503125,280.666547916667,279.156395833333,281.927532083333,278.341398333333,277.55381625,278.55737,275.37096,274.921959166667
