Date,FR10_TA,FRB0_TA,FRC1_TA,FRC2_TA,FRF2_TA,FRF3_TA,FRG0_TA,FRH0_TA,FRI1_TA,FRI2_TA,FRI3_TA,FRJ2_TA,FRK1_TA,FRK2_TA
2020-09-30,291.943549,292.4822413055555,292.5729709722222,291.60455381944456,291.89977915277774,291.24802133333344,291.71703025,290.12963391666665,293.6346213055556,291.4012578472222,292.96757612500005,292.1501510694445,290.6201846666666,290.37590090277786
2020-10-01,291.97335643055555,292.4870593194444,292.5782681944445,291.5972268333334,291.93052741666656,291.28059937500007,291.6852265277778,290.08283943055557,293.59921325,291.375908625,292.95375606944447,292.1131075833334,290.6143864444444,290.3399992083334
2020-10-02,291.7269526111112,292.245962361111,292.39182068055555,291.468626888889,291.74298579166657,291.1300593888889,291.4480776805555,289.8661589722222,293.42424427777775,291.16493575,292.7500047777778,291.9144992916667,290.42517290277766,290.1979897500001
2020-10-03,291.44835452777784,291.97190918055554,292.06905977777774,291.0749947777778,291.43347711111096,290.7960490694444,291.2293261527777,289.69056579166664,293.072830625,290.8236258472222,292.48101088888893,291.51407584722233,290.04183284722217,289.78439297222224
2020-10-04,291.20063525000006,291.68390436111105,291.72040540277777,290.7010400277778,291.13315245833326,290.4642811388889,291.000216875,289.49599334722217,292.7032359305556,290.426607125,292.17820998611114,291.06812511111116,289.6071336527777,289.31325111111113
2020-10-05,291.0378970555556,291.4473520138888,291.4337736944444,290.38630704166667,290.9414743888887,290.20243743055556,290.83228531944445,289.3764805972222,292.44521540277776,290.1115420694444,291.9270902916668,290.77481400000005,289.2807912916666,288.9377523333334
2020-10-06,290.9683223611111,291.367134875,291.26447977777775,290.1944545416667,290.7891279027777,290.01295497222225,290.79794129166663,289.36254883333334,292.37664980555553,289.96629293055554,291.8475482083334,290.6728661111112,289.10126677777777,288.7398053472223
2020-10-07,290.9689645,291.3833364166666,291.21149098611113,290.13454801388895,290.7320540416666,289.94354008333335,290.8381922777778,289.41339862499996,292.29658306944447,289.89000402777776,291.8184215138889,290.5856824444445,289.0083961388889,288.66640573611113
2020-10-08,290.98988808333337,291.3797688611111,291.15528374999997,290.0567933055556,290.7243861249999,289.9320626944445,290.8565042916667,289.4353850694444,292.22555174999997,289.80617658333335,291.7874386388889,290.5205470000001,288.93734466666666,288.5901460416666
2020-10-09,290.94092398611116,291.34279277777773,291.07677474999997,289.9610509583334,290.6385944027777,289.82849384722226,290.770640875,289.32524716666666,292.13517148611106,289.7648679722222,291.71623829166674,290.4168612777778,288.8836266388889,288.4961314861111
