Date,TA_mean
2015-01-01,272.49589062499996
2015-01-02,275.67426913690485
2015-01-03,280.1414333928571
2015-01-04,279.84646419642854
2015-01-05,275.2787496726191
2015-01-06,274.9205256845239
2015-01-07,277.16146660714276
2015-01-08,280.09130366071423
2015-01-09,282.5253404464285
2015-01-10,284.15437377976207
2015-01-11,279.0565402380952
2015-01-12,278.2081416666667
2015-01-13,281.08439065476193
2015-01-14,280.42927089285706
2015-01-15,281.36903050595237
2015-01-16,278.71750449404766
2015-01-17,275.71342142857145
2015-01-18,274.65871875
2015-01-19,274.6232958630951
2015-01-20,273.6248227678571
2015-01-21,274.3566175892857
2015-01-22,274.12199675595235
2015-01-23,273.29666419642854
2015-01-24,273.923170327381
2015-01-25,274.4264516369047
2015-01-26,276.4149038988094
2015-01-27,277.0827426785715
2015-01-28,277.995562797619
2015-01-29,278.198567529762
2015-01-30,275.8592884821429
2015-01-31,275.38191059523814
2015-02-01,275.02286869047623
2015-02-02,274.1515632738095
2015-02-03,272.42394229166655
2015-02-04,272.73413154761914
2015-02-05,272.4596222916666
2015-02-06,272.1978585119047
2015-02-07,272.7085527976191
2015-02-08,274.7752513690475
2015-02-09,274.6800510416668
2015-02-10,275.1962335119046
2015-02-11,275.4523417559523
2015-02-12,276.4389470238096
2015-02-13,279.0581922321428
2015-02-14,279.31853705357145
2015-02-15,277.9800326190476
2015-02-16,276.5523923511904
2015-02-17,277.38066931547604
2015-02-18,276.3082424107144
2015-02-19,276.3838672023809
2015-02-20,279.3000556845238
2015-02-21,276.96886443452365
2015-02-22,275.83348497023815
2015-02-23,278.9775542261905
2015-02-24,277.5739516666667
2015-02-25,278.41305095238096
2015-02-26,280.5229228273811
2015-02-27,278.0871077380952
2015-02-28,277.5750373511904
2015-03-01,282.5465872321428
2015-03-02,281.7212896130952
2015-03-03,279.98674842261903
2015-03-04,277.6152611011906
2015-03-05,277.24304285714294
2015-03-06,278.12829800595233
2015-03-07,279.9386342261904
2015-03-08,281.26038
2015-03-09,281.2113576785715
2015-03-10,281.7390548511905
2015-03-11,282.84635491071424
2015-03-12,281.3598842857142
2015-03-13,279.3140266071428
2015-03-14,278.3317439880953
2015-03-15,278.1900694642856
2015-03-16,279.761011577381
2015-03-17,281.90589449404763
2015-03-18,283.7370545535714
2015-03-19,281.61855184523796
2015-03-20,281.1809485119047
2015-03-21,280.2630008928571
2015-03-22,279.2621498214287
2015-03-23,280.5491697619047
2015-03-24,280.1131025595237
2015-03-25,277.9898815476191
2015-03-26,278.8146677380953
2015-03-27,280.85145657738093
2015-03-28,282.5139903869047
2015-03-29,283.658637529762
2015-03-30,284.2619422619047
2015-03-31,284.08781598214273
2015-04-01,280.6026945238095
2015-04-02,280.9715273511905
2015-04-03,281.48770904761903
2015-04-04,281.14890559523803
2015-04-05,279.20903565476186
2015-04-06,280.1791227678572
2015-04-07,281.71453285714284
2015-04-08,283.120908720238
2015-04-09,285.4461494642857
2015-04-10,285.944522202381
2015-04-11,284.8835451488097
2015-04-12,285.75754029761913
2015-04-13,287.2623936904762
2015-04-14,289.17933711309513
2015-04-15,290.260890654762
2015-04-16,288.19971300595233
2015-04-17,285.9907104761905
2015-04-18,284.9010905357142
2015-04-19,283.9487222619047
2015-04-20,285.9553975
2015-04-21,287.59512610119043
2015-04-22,288.2296257440475
2015-04-23,286.84070267857123
2015-04-24,287.059184345238
2015-04-25,287.3071921428571
2015-04-26,286.59941803571417
2015-04-27,284.3075365476192
2015-04-28,281.7734410416665
2015-04-29,282.4843161011905
2015-04-30,283.8868857440476
2015-05-01,285.4599166964287
2015-05-02,286.5673322619047
2015-05-03,289.16324866071426
2015-05-04,290.2664410714286
2015-05-05,288.84172363095234
2015-05-06,285.42750642857146
2015-05-07,285.46348726190473
2015-05-08,286.9677769642858
2015-05-09,288.01526955357144
2015-05-10,289.07195431547603
2015-05-11,291.8386477380953
2015-05-12,291.42834104166656
2015-05-13,290.9279911011905
2015-05-14,286.89496845238097
2015-05-15,283.8491300595238
2015-05-16,285.709599702381
2015-05-17,287.0528104166667
2015-05-18,287.1834511607141
2015-05-19,284.30052220238093
2015-05-20,282.55151979166664
2015-05-21,283.6767323511904
2015-05-22,285.75223139880956
2015-05-23,287.61745586309524
2015-05-24,288.7218652976191
2015-05-25,287.7274292559524
2015-05-26,286.2333818452381
2015-05-27,287.04648803571433
2015-05-28,288.07200464285705
2015-05-29,288.04438985119066
2015-05-30,287.5515725595238
2015-05-31,288.7601561607142
2015-06-01,287.94334122023804
2015-06-02,291.1663980654763
2015-06-03,291.4322609226191
2015-06-04,294.53888613095245
2015-06-05,296.21747550595245
2015-06-06,292.09358866071426
2015-06-07,291.71733937500005
2015-06-08,291.1489601488096
2015-06-09,289.6214729761903
2015-06-10,290.01511651785717
2015-06-11,293.71611038690475
2015-06-12,291.7840492559525
2015-06-13,291.2480901488096
2015-06-14,290.31965693452383
2015-06-15,289.69857401785714
2015-06-16,289.6559001488094
2015-06-17,289.9390927976188
2015-06-18,290.2262310416666
2015-06-19,289.6449920833333
2015-06-20,289.6658086011904
2015-06-21,291.1585295833333
2015-06-22,290.7756949404761
2015-06-23,288.7020483630952
2015-06-24,290.1641142559523
2015-06-25,292.75041550595245
2015-06-26,294.5709404761907
2015-06-27,293.07586428571443
2015-06-28,293.81431979166666
2015-06-29,295.03996916666665
2015-06-30,298.5189101488094
2015-07-01,299.45708943452377
2015-07-02,298.1484205654761
2015-07-03,299.5775102083334
2015-07-04,299.04519508928576
2015-07-05,296.7162005059525
2015-07-06,296.63103672619053
