Date,AT,DE,FR,IT,NO,PT,SI,SK
2015-01-01,0.283033405496422,0.283162724652425,0.38568127464288,,0.28181261012794,0.241621908917981,0.343027856916746,0.272443890274314
2015-01-02,0.276764237176018,0.27734507460156,0.398426895481869,,0.287769095227151,0.353012755958375,0.347974042418487,0.264235245220283
2015-01-03,0.320490558662577,0.315498897931502,0.394677945834141,,0.297977476442197,0.311443996866958,0.310224754669199,0.290835411471322
2015-01-04,0.451197832100547,0.436707888267209,0.431319080860966,,0.285853826706504,0.268966096005371,0.334085153529598,0.342286644499861
2015-01-05,0.479538757592158,0.399534270091556,0.543654256350591,,0.280060139431548,0.373937003468725,0.340574548907882,0.448254364089776
2015-01-06,0.474727885020146,0.374565530688369,0.549108008532092,,0.283928981843254,0.34620118608034,0.349556821779044,0.453068717096148
2015-01-07,0.447016507306513,0.365884092065107,0.539796231659233,,0.285556960085804,0.467564618999664,0.362891737891738,0.442574120254918
2015-01-08,0.40856711167238,0.367317310952865,0.496501518970978,,0.295075844633418,0.446430569542352,0.346509971509972,0.4214463840399
2015-01-09,0.422975299176138,0.377877034587996,0.488506722254541,,0.295803646671263,0.359530603110664,0.345639442861665,0.383451094486007
2015-01-10,0.521192269529136,0.45622986605629,0.428119546247819,,0.291044204397456,0.267161799261497,0.342196897752453,0.480742587974508
2015-01-11,0.514041734319562,0.44628740674805,0.41221478895999,,0.283268214203631,0.192849949647533,0.36411839189617,0.760806317539485
2015-01-12,0.547462264718263,0.430172304170905,0.487819953461315,,0.286983835133686,0.318870985789415,0.444444444444444,0.782799944582987
2015-01-13,0.556257141138974,0.407537512716175,0.507380744618965,,0.281151842488317,0.249496475327291,0.393083254194365,0.634801884178443
2015-01-14,0.542429640988634,0.406803683452018,0.508423017258096,,0.285758063280472,0.314674946850173,0.379985754985755,0.578103352729288
2015-01-15,0.514851689818991,0.406485779077653,0.517706515415939,,0.286734850226002,0.24050296520085,0.368668882557771,0.528574397339983
