Date,FR10_TP_acc,FRB0_TP_acc,FRC1_TP_acc,FRC2_TP_acc,FRD1_TP_acc,FRD2_TP_acc,FRE2_TP_acc,FRE2_TP_acc,FRF1_TP_acc,FRF2_TP_acc,FRF3_TP_acc,FRG0_TP_acc,FRH0_TP_acc,FRI1_TP_acc,FRI2_TP_acc,FRI3_TP_acc,FRJ1_TP_acc,FRJ2_TP_acc,FRK1_TP_acc,FRK2_TP_acc,FRL0_TP_acc
2022-10-26,0.01266143380667808,0.007549591722780852,0.01782293899731817,0.012793889270122072,0.016376488816421366,0.015577943030273201,0.015330488292489447,0.015330488292489447,0.009592832002496493,0.017243201273082633,0.017892982848064627,0.00824024420984757,0.014025898848016721,0.004902690667069292,0.007611828216666116,0.00848679727374828,0.01251815118979661,0.005616046320992809,0.005448177518788095,0.010883541753275392,0.012477264023489894
2022-10-27,0.012661730941995164,0.0075505392998056016,0.017822945864440755,0.01274328978785403,0.016407535737826617,0.015596172629318367,0.015353362238490865,0.015353362238490865,0.009341000246957745,0.017257775715670966,0.017880285118084125,0.008254749827307235,0.014089641993653389,0.004902943661243292,0.007613297707047407,0.008489355001007028,0.01250172423154036,0.005609274734490475,0.005316001090284346,0.01086777991311337,0.011850764477784503
2022-10-28,0.012662190327604706,0.007556123327523185,0.01782603729948859,0.012746866678961237,0.016452781064547034,0.015636266191353367,0.015379057143389822,0.015379057143389822,0.009013655552723593,0.01728741436904201,0.017815131932341563,0.008296625635819762,0.014136676740418387,0.004907442231131125,0.007614618528235283,0.008459306497545402,0.01249628576525232,0.005605481968324351,0.005061345918511596,0.010860628219044786,0.011849882497135127
2022-10-29,0.012654400090868455,0.007556817329226685,0.01782108170055367,0.012743916925914572,0.016458548550572827,0.015639351957893368,0.015395383737929699,0.015395383737929699,0.008463001855369925,0.01728926786492263,0.017814704494515898,0.00811477529220714,0.014200230636325598,0.004764321947264526,0.007603526650789032,0.00796934793305352,0.012344024580136993,0.005540515292082892,0.005012733365831803,0.010854980473791121,0.011779436384504828
2022-10-30,0.01271388551584762,0.007319437351581486,0.01780189444032492,0.01211976563048523,0.0167342851096808,0.015757385218613966,0.015447953374296199,0.015447953374296199,0.008210285038286627,0.01726079526050597,0.017802345945770064,0.008305112537909774,0.014377061566138079,0.0046830526760110085,0.007459955568676982,0.008063751640624627,0.012269518180877285,0.005398963975117393,0.004982232928368928,0.010346579321307054,0.011752286084708694
2022-10-31,0.012861545528527486,0.007427205100021577,0.01781782694520134,0.012008724546664679,0.017013075373874673,0.016113981042936532,0.015694515600653523,0.015694515600653523,0.007895953921767878,0.01729356314957855,0.01707851752567923,0.008482022543059742,0.014476231078458364,0.004897061671102392,0.007705340284276116,0.00830200822400713,0.012468318484402253,0.005450795798144651,0.005070362215182138,0.010336872883702471,0.01175885420769332
2022-11-01,0.01282187711161986,0.007441384160505952,0.01791372455481704,0.012488775813993614,0.017070133361405927,0.01617479187324974,0.015831900950536822,0.015831900950536822,0.008174360359190211,0.01744318049357145,0.01704629225317073,0.008557943762502176,0.014616856649832945,0.0049727919861998916,0.00786856110708655,0.008328460436367893,0.012825150086477189,0.005601235264202917,0.005368364966444272,0.011137037787846667,0.012404327150492604
2022-11-02,0.012587593989377777,0.007014175334983102,0.01754670278336266,0.012370653902448648,0.016852770906758074,0.015946321287509894,0.015804752332971243,0.015804752332971243,0.008180346032679878,0.0174495124598902,0.017045922638769063,0.008572470161418927,0.014423663668187196,0.004685651248679475,0.007359119235679083,0.008331462356863436,0.012643954697929479,0.005092835254567751,0.005369610258942607,0.0107388862161763,0.01233118395317127
2022-11-03,0.012582321133527778,0.007231770649596802,0.017744635440844765,0.012407597265652846,0.017213774110325476,0.016221428023519092,0.016034744323064738,0.016034744323064738,0.00829559770582458,0.0174706498724611,0.017403827436696804,0.00909254084395438,0.01495217241329178,0.004818336150114342,0.007629843069851917,0.008661780053827938,0.012824809502651562,0.005129390728572451,0.005449615604512207,0.0109749245507368,0.013074791608804447
2022-11-04,0.012771115824261301,0.007438287217050553,0.01796054016063053,0.012799604310001223,0.017247507666394973,0.016283370349967595,0.016183363926876932,0.016183363926876932,0.008005236184694979,0.017627396938885598,0.01756172047750683,0.009246053444715989,0.01495014505916028,0.005297220664381059,0.008062175109490335,0.00895909194186954,0.013005857410081737,0.005645386048350268,0.005424586681828807,0.011436781654123174,0.013191363212102762
