Date,FR10_TP,FRB0_TP,FRC1_TP,FRC2_TP,FRD1_TP,FRD2_TP,FRE1_TP,FRE2_TP,FRF1_TP,FRF2_TP,FRF3_TP,FRG0_TP,FRH0_TP,FRI1_TP,FRI2_TP,FRI3_TP,FRJ1_TP,FRJ2_TP,FRK1_TP,FRK2_TP,FRL0_TP
2015-01-01,5.28539225666667e-07,1.55259160666667e-07,4.51778077916667e-08,1.85257730833333e-08,6.35189224254167e-07,1.33466970416667e-07,1.49907820708333e-07,1.70699441166667e-07,3.99069462625e-07,1.08874960391667e-06,6.68872796375e-07,2.6221491791666703e-09,2.59994754304167e-06,2.0534202083333304e-10,0.0,0.0,6.1143266875e-09,0.0,0.0,3.18224004541667e-07,7.2222933975e-07
2015-01-02,7.84495692964583e-05,5.98147440870833e-05,7.62051395204167e-05,0.0001187082418404,5.20931154369583e-05,4.93470860809583e-05,4.62299206965833e-05,7.940897846825e-05,0.0001211389742447,0.0001465349071804,0.0001809039695616,3.73803547229167e-05,3.17061421640292e-05,1.32695289779167e-07,9.4884658575e-06,2.42137050125e-05,3.2718269625e-08,3.265708875e-09,1.21534258e-05,8.80019589447083e-06,1.68456612666667e-08
2015-01-03,0.0001955945878916,0.000104552646875,0.0001696094485833,0.0005361028864916,0.0001094614752987,0.0002134102576383,0.0004769115579525,0.0003550926638812,0.000467081866375,0.0003961857461083,0.0006036848352916,3.82226065416667e-05,5.72611437708333e-05,2.62286847208333e-05,0.000193253178125,5.95219670833334e-05,3.38654677666667e-06,3.0756342389625e-05,8.87419855166667e-05,0.00015804243585,5.05736000539167e-06
2015-01-04,2.19462499066667e-05,5.44185427708333e-05,9.61450845351666e-05,0.0002587885305004,3.34369796958333e-05,9.0239863025e-06,1.146908455875e-06,2.410335549e-06,5.22488745920833e-05,2.63863872990417e-05,1.5536309018875e-05,2.08667534166667e-05,7.76186282916667e-06,5.0131300825e-05,0.0001246679091439,3.3187163225e-05,2.24588184116667e-05,9.82815466e-05,0.0001105817575954,0.00019913101165,5.40539592255833e-06
2015-01-05,7.75060773916667e-07,6.03216270916667e-07,4.26499795833333e-09,0.0,6.96858388083333e-06,4.70625170416667e-06,1.45253949416667e-06,1.07842518166667e-06,1.8980513333333303e-09,1.255290179375e-07,3.82871008145833e-07,5.4034244665e-06,6.23245185e-06,1.97352602964583e-06,2.0461417e-07,7.7777719175e-07,2.79322496666667e-07,1.60457444958333e-06,8.71846991666667e-07,4.082314355125e-07,5.31348158583333e-07
2015-01-06,3.83803979625e-06,6.557699612875e-06,7.926994730375e-06,1.11787841714583e-06,7.05894171791667e-06,3.014583370375e-06,3.58588943779167e-06,1.93973186395833e-06,3.16712491666667e-07,3.69335521967083e-06,1.29838978625e-06,2.684104607875e-05,1.85371797682083e-05,1.0546908085e-05,1.34550833910417e-05,9.15211328958333e-06,1.70556765708333e-06,1.497011002875e-05,7.2504474905625e-06,1.1881088180125e-06,1.9203705125e-08
2015-01-07,9.66483854375e-06,3.72599178458333e-05,3.59310550333333e-05,3.39508896291667e-05,1.85210748541667e-06,1.28550601116667e-06,8.369483569875e-06,2.93350232083333e-06,4.30220163541667e-05,3.24682307416667e-05,4.76038175708333e-05,9.22156002458333e-06,7.20769246558333e-06,1.17363909370833e-06,1.79247015929167e-05,6.2633478725e-05,6.68661026208333e-07,4.7985191571375e-06,1.43015489125e-05,3.08162990291667e-06,1.12326936208333e-06
2015-01-08,0.0001897719025579,0.0001228577599375,0.0001415836571666,0.0001872822881458,0.0003731630200018,0.0003556493828216,0.000597894556759,0.0003736904120929,0.0001782400200416,0.0002922137783458,0.0002779197061083,0.0001748140758952,0.0002935852950711,1.77254582730208e-05,7.24424678166667e-05,8.23079579583334e-05,2.01183539550417e-06,1.10937817991667e-05,4.75063395291667e-05,3.6256413305e-05,1.04375773954167e-06
2015-01-09,7.88935848866667e-05,8.56103299541667e-05,0.0001742598717375,0.0002335405387125,8.93940366258334e-05,8.52807359954167e-05,8.1889118520125e-05,0.0001299179053367,0.0001472161148,0.0001846077457291,0.0002510459712916,3.42437419231583e-05,3.83849814010833e-05,2.29179657416667e-05,0.0001857625602083,5.577246177375e-05,6.83015075e-06,4.101104725e-05,8.70742335833333e-05,6.87852792741667e-05,1.2059462649125e-06
2015-01-10,0.0001366575565333,0.0001141777413333,0.0001572214814583,0.0002996686283333,6.11743784166667e-05,4.98777966916666e-05,6.40411536791667e-05,7.32099442925e-05,0.0002073694603333,0.00024937431725,0.0003268618341666,6.57250583333333e-05,5.14920790541667e-05,3.66724530833333e-05,0.0001634412426666,5.61191659166667e-05,5.34665572083333e-06,3.45958420416667e-05,6.87102478333333e-05,4.524929175e-05,6.24979598875e-07
2015-01-11,2.11030290929167e-05,0.0001498653884895,0.0002926513860931,0.00055651000145,3.4070007076125e-05,4.58865678104166e-05,2.736521401725e-05,3.32347290479167e-05,0.0003610348029483,0.00010089206631,0.0001396855451875,4.07688932490833e-05,1.10898988715833e-05,0.0001260717561546,0.0002724002515541,0.0001489389575699,2.266401987e-05,0.0001171135808303,0.000207839762412,0.0002972953815675,2.06884172251417e-05
2015-01-12,2.35616008333333e-06,9.23081920583333e-07,4.63933597541667e-07,3.6377390225e-07,1.09666282291667e-05,6.38129034708333e-06,2.56402964625e-05,5.4849526625e-06,1.42244484875e-06,1.280158050985e-05,7.05403099177084e-06,5.42340219541667e-06,4.60697041666667e-05,0.0,2.0621283333333302e-09,9.76493460833334e-08,1.44515107166667e-08,0.0,0.0,1.71814895833333e-09,1.00558654720833e-07
2015-01-13,0.0001031774971267,0.0001467569936216,0.0001777385494378,6.03284334375e-05,0.0004266069070416,0.0003169831362833,0.0004424865247166,0.0001895970013791,7.108531170125e-05,0.0002504636766282,0.0002827744329328,0.0003076294715833,0.000415328214875,6.54922388102083e-05,0.0001353393074414,0.0002361652958867,2.40077061570833e-05,7.89073675195833e-06,3.1134413855e-05,2.97006560125e-05,1.87358222449583e-05
2015-01-14,0.0001394395845086,7.8713337925e-05,0.0001568152362008,0.0004582225795285,0.0001412885146466,0.0001439133502945,0.000240201396879,0.0002107328676701,0.0003154647147362,0.000210903292372,0.000292544876472,0.0001080638910791,0.0002059662208708,5.24628712814583e-05,0.0001489946329387,5.39996962666667e-05,1.47537333916667e-05,3.41465606232083e-05,8.21882045689583e-05,0.0001950607775354,1.440599515e-05
2015-01-15,0.0001751932334083,0.000272168637625,0.0001220659658154,9.96332805433333e-06,0.0007136982379529,0.0004508608238816,0.000464507201625,0.0002950142833075,2.0248041848125e-05,0.000299233865,0.0002218505527916,0.0007035717201458,0.0007161399794883,0.0001777219883345,0.0001633338465612,0.0005760908203333,3.47962916120833e-05,5.87703031657083e-06,1.42466081575e-05,2.9694442578625e-05,1.65921285458333e-05
2015-01-16,0.0001345562532416,0.0002768206515,0.0005939744341666,0.0011321321215,9.09280173024167e-05,7.431796655425e-05,8.51198804147083e-05,9.4321009593625e-05,0.00075476779,0.00030441204575,0.0006741486416666,9.13494400295833e-05,0.0001084723062333,0.0003416404872916,0.000409950564,0.0003281784913925,0.000287669012875,0.0004372467851666,0.0004325775745833,0.00110957770625,0.0007753790523333
2015-01-17,6.155097388625e-06,8.61345554895833e-06,9.07669080083333e-05,0.0002184188520333,1.41375952405417e-05,9.44058659429167e-06,1.37245647478333e-05,3.03408190366667e-06,0.0001729051624,2.80749466304167e-05,3.26400255625e-05,1.41186477291667e-06,3.28762367841667e-05,5.703158707375e-05,3.866119909125e-05,5.37502676120833e-06,3.8298737953125e-05,7.54101386070833e-05,6.80737242275e-05,0.0003326820758833,0.0001199672339279
2015-01-18,3.48814565904167e-05,1.63709140770708e-05,1.98341784416667e-07,3.70356070833333e-07,0.0004470739945833,0.0004597947515916,0.000514557262375,0.0002256500338333,2.54577388541667e-07,9.85467801666667e-08,4.00356138208333e-07,0.0004578251285416,0.0004003106121041,9.94119268064166e-05,2.08003688095833e-06,2.958717089975e-05,6.60212291675e-06,1.53889472587083e-05,1.90341544525e-06,8.786951315e-06,2.1930318574e-05
2015-01-19,7.29932273379167e-05,8.0262769e-05,6.62224875833334e-05,0.0002862338112416,2.09370510258333e-05,3.34048435033333e-05,0.0001196615699333,0.0001011376877983,0.0001600580725704,2.987065282e-05,5.11143009160833e-05,0.0001137513672595,2.11702528616667e-05,0.0002349132841666,7.41065591958333e-05,0.0002035245622083,0.0004090331041666,0.0001041611294583,7.15236259375e-05,0.00044594195625,0.0003393440020833
2015-01-20,3.035745938e-06,2.77741783182083e-06,1.67825200416667e-05,9.11926872583333e-05,4.32674487510417e-05,3.04530246483333e-06,1.5246249075e-06,2.871737183875e-06,9.25787207458334e-05,5.22300155095833e-06,2.11296644830833e-05,2.10462296766667e-05,0.0001482658484708,8.24004684375e-06,4.84130979666667e-05,1.328164378625e-06,6.07011740416667e-05,2.263750532125e-05,4.38449885916666e-05,0.0002640123597916,0.00028466364375
2015-01-21,1.53689759258333e-06,4.20950864541667e-06,7.28237754708333e-05,3.92739555483333e-05,7.04566600875e-05,0.0001022680881666,8.24162528804167e-06,3.70061686270833e-06,1.28649851179167e-05,2.56855136045833e-06,1.406276196875e-06,0.0001305604164458,8.62811737208333e-05,0.0001233914375833,1.371437802375e-06,8.516673164e-05,0.00032308531575,3.3730842655e-05,0.0001317999985833,0.0002814780345833,0.0005240732295833
