Date,cos,sin
2015-01-01,0.9998518392091162,0.017213356155834685
2015-01-02,0.9994074007397048,0.03442161162274574
2015-01-03,0.998666816288476,0.051619667223253764
2015-01-04,0.9976303053065857,0.06880242680231986
2015-01-05,0.9962981749346078,0.08596479873744647
2015-01-06,0.9946708199115211,0.10310169744743485
2015-01-07,0.9927487224577402,0.1202080448993527
2015-01-08,0.9905324521322229,0.13727877211326478
2015-01-09,0.9880226656636976,0.15430882066428117
2015-01-10,0.9852201067560606,0.1712931441814776
2015-01-11,0.9821256058680006,0.1882267098432442
2015-01-12,0.9787400799669153,0.2051044998686192
2015-01-13,0.9750645322571948,0.2219215130041655
2015-01-14,0.9711000518829505,0.2386727660059501
2015-01-15,0.9668478136052775,0.255353295116187
2015-01-16,0.9623090774541486,0.2719581575341055
2015-01-17,0.9574851883550393,0.288482432880609
2015-01-18,0.9523775757303974,0.30492122465628907
2015-01-19,0.9469877530760753,0.3212696616923644
2015-01-20,0.9413173175128471,0.3375228995941133
2015-01-21,0.9353679493131483,0.3536761221763716
2015-01-22,0.9291414114031743,0.3697245428906731
2015-01-23,0.9226395488404876,0.38566340624360707
2015-01-24,0.9158642882672872,0.401487989205973
2015-01-25,0.9088176373395029,0.4171936026123168
2015-01-26,0.901501684131884,0.4327755925504312
2015-01-27,0.893918596519257,0.4482293417404106
2015-01-28,0.886070621534138,0.4635502709028509
2015-01-29,0.8779600847008882,0.47873384011578846
2015-01-30,0.869589389346611,0.49377555015997715
2015-01-31,0.8609610158889943,0.5086709438521044
2015-02-01,0.8520775211013093,0.5234156073655503
2015-02-02,0.8429415373547828,0.5380051715382996
2015-02-03,0.8335557718385699,0.5524353131676196
2015-02-04,0.8239230057575542,0.5667017562911176
2015-02-05,0.8140460935082178,0.5808002734538009
2015-02-06,0.8039279618328213,0.5947266869607634
2015-02-07,0.7935716089521474,0.6084768701151261
2015-02-08,0.7829801036770629,0.6220467484408675
2015-02-09,0.7721565844991642,0.6354323008901774
2015-02-10,0.7611042586607747,0.6486295610349814
2015-02-11,0.7498264012045686,0.6616346182422783
2015-02-12,0.7383263540031065,0.6744436188329455
2015-02-13,0.7266075247685656,0.6870527672236669
2015-02-14,0.7146733860429609,0.699458327051647
2015-02-15,0.7025274741691571,0.7116566222817746
2015-02-16,0.6901733882429719,0.7236440382959124
2015-02-17,0.6776147890466889,0.7354170229639855
2015-02-18,0.6648553979642865,0.7469720876965552
2015-02-19,0.6518989958787126,0.7583058084785624
2015-02-20,0.6387494220515272,0.7694148268839378
2015-02-21,0.6254105729852463,0.7802958510707755
2015-02-22,0.6118864012687243,0.7909456567567772
2015-02-23,0.5981809144059165,0.8013610881746766
2015-02-24,0.5842981736283684,0.8115390590073611
2015-02-25,0.5702422926917871,0.8214765533024142
2015-02-26,0.5560174366570446,0.8311706263658079
2015-02-27,0.5416278206559814,0.8406184056344782
2015-02-28,0.5270777086423722,0.8498170915275278
2015-03-01,0.5123714121284237,0.8587639582758029
2015-03-02,0.49751328890718066,0.8674563547295969
2015-03-03,0.48250774176121847,0.8758917051442429
2015-03-04,0.4673592171580022,0.8840675099433636
2015-03-05,0.45207220393230435,0.8919813464595485
2015-03-06,0.43665123195606403,0.8996308696522433
2015-03-07,0.4211008707960896,0.9070138128026359
2015-03-08,0.40542572835999735,0.9141279881853337
2015-03-09,0.38963044953078796,0.9209712877166346
2015-03-10,0.37371971479046906,0.9275416835791966
2015-03-11,0.35769823883312546,0.9338372288229252
2015-03-12,0.3415707691678556,0.9398560579418954
2015-03-13,0.3253420847119801,0.9455963874271426
2015-03-14,0.30901699437494745,0.9510565162951535
2015-03-15,0.29260033563334836,0.9562348265919056
2015-03-16,0.27609697309746883,0.9611297838723007
2015-03-17,0.2595117970697999,0.9657399376548549
2015-03-18,0.2428497220959356,0.9700639218515071
2015-03-19,0.22611568550828828,0.9741004551724205
2015-03-20,0.20931464596304847,0.9778483415056568
2015-03-21,0.19245158197082998,0.9813064702716093
2015-03-22,0.1755314904214282,0.9844738167520922
2015-03-23,0.15855938510313475,0.9873494423939864
2015-03-24,0.141540295217043,0.989932495087353
2015-03-25,0.12447926388678915,0.9922222094179323
2015-03-26,0.10738134666416309,0.994217906893952
2015-03-27,0.09025161003104117,0.995918996147179
2015-03-28,0.07309512989807777,0.9973249731081555
2015-03-29,0.055916990100603484,0.9984354211555643
2015-03-30,0.03872228089217446,0.9992500112396835
2015-03-31,0.021516097436222254,0.9997685019798909
2015-04-01,0.004303538296244289,0.9999907397361901
2015-04-02,-0.01291029607500882,0.9999166586547379
2015-04-03,-0.030120304846908114,0.9995462806873573
2015-04-04,-0.04732138832243185,0.9988797155850336
2015-04-05,-0.06450844944931623,0.9979171608653922
2015-04-06,-0.08167639533042241,0.9966589017541702
2015-04-07,-0.09882013873287143,0.9951053111006976
2015-04-08,-0.11593459959550041,0.9932568492674143
2015-04-09,-0.1330147065341959,0.9911140639934547
2015-04-10,-0.1500553983446526,0.9886775902323405
2015-04-11,-0.16705162550211924,0.9859481499638304
2015-04-12,-0.18399835165768005,0.9829265519799822
2015-04-13,-0.20089055513063506,0.9796136916454901
2015-04-14,-0.21772323039653177,0.9760105506323683
2015-04-15,-0.23449138957040985,0.9721181966290613
2015-04-16,-0.25119006388481935,0.9679377830240642
2015-04-17,-0.2678143051621742,0.9634705485641488
2015-04-18,-0.2843591872810034,0.9587178169872964
2015-04-19,-0.30081980763566735,0.9536809966304457
2015-04-20,-0.3171912885891061,0.9483615800121715
2015-04-21,-0.3334687789181868,0.9427611433904207
