Perimètre juridique;Perimètre spatial;Spatial perimeter;Filière;Sector;Centrale;Catégorie centrale;Power station category;Année de mise en service;Puissance installée;Réserve secondaire maximale ;Unité;Département;Code postal;Commune;Coordonnées X_WGS;Coordonnées Y_WGS;point_gps_wsg_84
EDF SA;France métropolitaine, sans la Corse ni les iles du ponant;Metropolitan France, excluding Corsica and the Ponant Islands;Hydraulique;Hydraulic;BROMMAT;Lac;Lake;1933;406.0;60.0;MW;AVEYRON;12600;BROMMAT;44.7675662205;2.68354402065;44.7675662205, 2.68354402065
EDF SA;France métropolitaine, sans la Corse ni les iles du ponant;Metropolitan France, excluding Corsica and the Ponant Islands;Hydraulique;Hydraulic;FESSENHEIM;Fil de l'eau;As the water flows;1956;175.0;;MW;HAUT-RHIN;68740;FESSENHEIM;47.9150916717;7.57053930693;47.9150916717, 7.57053930693
EDF SA;France métropolitaine, sans la Corse ni les iles du ponant;Metropolitan France, excluding Corsica and the Ponant Islands;Hydraulique;Hydraulic;AIGLE (L');Lac;Lake;1945;360.0;31.0;MW;CANTAL;15200;CHALVIGNAC;45.243248798;2.22479826896;45.243248798, 2.22479826896
EDF SA;France métropolitaine, sans la Corse ni les iles du ponant;Metropolitan France, excluding Corsica and the Ponant Islands;Hydraulique;Hydraulic;STRASBOURG;Fil de l'eau;As the water flows;1969;149.2;;MW;BAS-RHIN;67000;STRASBOURG;48.5254883575;7.79756228905;48.5254883575, 7.79756228905
EDF SA;France métropolitaine, sans la Corse ni les iles du ponant;Metropolitan France, excluding Corsica and the Ponant Islands;Hydraulique;Hydraulic;PIED-DE-BORNE;Lac;Lake;1965;109.4;;MW;LOZERE;48800;PIED-DE-BORNE;44.4786721185;3.98567226267;44.4786721185, 3.98567226267
EDF SA;France métropolitaine, sans la Corse ni les iles du ponant;Metropolitan France, excluding Corsica and the Ponant Islands;Hydraulique;Hydraulic;CHEYLAS (LE);Pompage mixte;Mixed pumping;1979;485.0;70.0;MW;ISERE;38570;CHEYLAS;45.3845817547;6.00091740755;45.3845817547, 6.00091740755
EDF SA;France métropolitaine, sans la Corse ni les iles du ponant;Metropolitan France, excluding Corsica and the Ponant Islands;Hydraulique;Hydraulic;SUPER-BISSORTE;Pompage mixte;Mixed pumping;1987;742.3;50.0;MW;SAVOIE;73140;ORELLE;45.2014392462;6.57717766773;45.2014392462, 6.57717766773
EDF SA;France métropolitaine, sans la Corse ni les iles du ponant;Metropolitan France, excluding Corsica and the Ponant Islands;Hydraulique;Hydraulic;SAINT-ETIENNE-CANTALES;Lac;Lake;1945;103.25;;MW;CANTAL;15150;SAINT-ETIENNE-CANTALES;44.9456276592;2.21900547797;44.9456276592, 2.21900547797
EDF SA;France métropolitaine, sans la Corse ni les iles du ponant;Metropolitan France, excluding Corsica and the Ponant Islands;Hydraulique;Hydraulic;BORT;Lac;Lake;1952;235.0;34.0;MW;CORREZE;19110;BORT-LES-ORGUES;45.4129035471;2.49842267793;45.4129035471, 2.49842267793
EDF SA;France métropolitaine, sans la Corse ni les iles du ponant;Metropolitan France, excluding Corsica and the Ponant Islands;Hydraulique;Hydraulic;POUGET (LE);Lac;Lake;1952;446.9;80.0;MW;AVEYRON;12430;TRUEL;44.0589519061;2.76855872011;44.0589519061, 2.76855872011
EDF SA;France métropolitaine, sans la Corse ni les iles du ponant;Metropolitan France, excluding Corsica and the Ponant Islands;Hydraulique;Hydraulic;HOSPITALET (L');Lac;Lake;1960;92.8;27.0;MW;ARIEGE;09390;HOSPITALET-PRES-L'ANDORRE;42.5879264975;1.79678791984;42.5879264975, 1.79678791984
EDF SA;France métropolitaine, sans la Corse ni les iles du ponant;Metropolitan France, excluding Corsica and the Ponant Islands;Hydraulique;Hydraulic;SAINT-ESTEVE;Lac;Lake;1963;146.0;;MW;BOUCHES-DU-RHONE;13610;SAINT-ESTEVE-JANSON;43.6918766568;5.3855800158;43.6918766568, 5.3855800158
EDF SA;France métropolitaine, sans la Corse ni les iles du ponant;Metropolitan France, excluding Corsica and the Ponant Islands;Hydraulique;Hydraulic;ORAISON;Lac;Lake;1962;187.5;;MW;ALPES-DE-HAUTE-PROVENCE;04700;ORAISON;43.9211298007;5.92413450578;43.9211298007, 5.92413450578
EDF SA;France métropolitaine, sans la Corse ni les iles du ponant;Metropolitan France, excluding Corsica and the Ponant Islands;Hydraulique;Hydraulic;BATHIE (LA);Lac;Lake;1960;602.0;222.0;MW;SAVOIE;73540;BATHIE;45.6452741068;6.44492758326;45.6452741068, 6.44492758326
EDF SA;France métropolitaine, sans la Corse ni les iles du ponant;Metropolitan France, excluding Corsica and the Ponant Islands;Hydraulique;Hydraulic;HERMILLON;Eclusée;Lock;1974;129.14;;MW;SAVOIE;73300;HERMILLON;45.2850094448;6.36403187388;45.2850094448, 6.36403187388
EDF SA;France métropolitaine, sans la Corse ni les iles du ponant;Metropolitan France, excluding Corsica and the Ponant Islands;Hydraulique;Hydraulic;MONTAHUT;Lac;Lake;1966;95.0;28.0;MW;HERAULT;34390;SAINT-JULIEN;43.5719771668;2.93508863021;43.5719771668, 2.93508863021
EDF SA;France métropolitaine, sans la Corse ni les iles du ponant;Metropolitan France, excluding Corsica and the Ponant Islands;Hydraulique;Hydraulic;COCHE (LA);Pompage mixte;Mixed pumping;1975;384.0;77.0;MW;SAVOIE;73260;BOIS;45.4943552104;6.51248044108;45.4943552104, 6.51248044108
EDF SA;France métropolitaine, sans la Corse ni les iles du ponant;Metropolitan France, excluding Corsica and the Ponant Islands;Hydraulique;Hydraulic;ORLU;Lac;Lake;1958;88.8;26.0;MW;ARIEGE;09110;AX-LES-THERMES;42.6891537831;1.91135501712;42.6891537831, 1.91135501712
EDF SA;France métropolitaine, sans la Corse ni les iles du ponant;Metropolitan France, excluding Corsica and the Ponant Islands;Hydraulique;Hydraulic;COUESQUE;Eclusée;Lock;1950;119.0;;MW;AVEYRON;12140;SAINT-HIPPOLYTE;44.6952954348;2.58251383517;44.6952954348, 2.58251383517
EDF SA;France métropolitaine, sans la Corse ni les iles du ponant;Metropolitan France, excluding Corsica and the Ponant Islands;Hydraulique;Hydraulic;GERSTHEIM;Fil de l'eau;As the water flows;1967;139.4;;MW;BAS-RHIN;67150;GERSTHEIM;48.4039880395;7.72694328696;48.4039880395, 7.72694328696
EDF SA;France métropolitaine, sans la Corse ni les iles du ponant;Metropolitan France, excluding Corsica and the Ponant Islands;Hydraulique;Hydraulic;RHINAU;Fil de l'eau;As the water flows;1963;168.6;;MW;BAS-RHIN;67860;RHINAU;48.2842005908;7.67627277851;48.2842005908, 7.67627277851
EDF SA;France métropolitaine, sans la Corse ni les iles du ponant;Metropolitan France, excluding Corsica and the Ponant Islands;Hydraulique;Hydraulic;SAINTE-CROIX;Lac;Lake;1975;132.27;22.0;MW;ALPES-DE-HAUTE-PROVENCE;04500;SAINTE-CROIX-DU-VERDON;43.7374820165;6.1340744954;43.7374820165, 6.1340744954
EDF SA;France métropolitaine, sans la Corse ni les iles du ponant;Metropolitan France, excluding Corsica and the Ponant Islands;Hydraulique;Hydraulic;RANCE;Marémotrice;Tidal Power;1966;240.0;;MW;ILLE-ET-VILAINE;35780;RICHARDAIS;48.6177985646;-2.02543151252;48.6177985646, -2.02543151252
