code;libelle;etat;insee_commune;nom_commune;mo_raison_sociale;x;y;precision_coord;categorie;puissance_maximum;productible_moyen;debit;coef_energetique;nb_turbines;type_turbine;titre;date_echeance_titre;hauteur_de_chute
09206009;Chute de Manon;EXPL;09206;Montferrier;E.U.R.L. DE MANON;602355.25;6200854.5;0;Ouvrage fonctionnant au fil de l'eau;0.157000005245209;662228;1;;1;;Autorisée;2033-04-15;15
09207001;Centrale de Tramezaygues;EXPL;09121;Ferrières-sur-Ariège;SAS CALYPSO TARN ARIEGE;587360;6205763;0;Ouvrage fonctionnant au fil de l'eau;1.5;5115347;;;;;;;3.59999990463257
09213001;MINOTERIE DE MOULIN NEUF;EXPL;09213;Moulin-Neuf;S.A.R.L. CLERCY HYDRO ELECTRIC;613924.25;6219835.5;0;Ouvrage fonctionnant au fil de l'eau;0.455000013113022;;8.5;;;;Autorisée et fondée en titre;2040-01-22;5.46000003814697
09214001;Moulin de Luzenac;EXPL;09214;Moulis;SARL DE LUZENAC;543299.44;6207787.5;0;Ouvrage fonctionnant au fil de l'eau;1.53199994564056;1347891;;;;;Autorisée;2024-08-04;4.59999990463257
09217001;FORGES DE NIAUX;HORS;09217;Niaux;FORGES DE NIAUX;584548.31;6192218.54;0;Ouvrage fonctionnant au fil de l'eau;0.185000002384186;;;;;;;;
09218001;ORGEIX;EXPL;09218;Orgeix;ELECTRICITE DE FRANCE;606839.25;6179642.5;0;Ouvrage fonctionnant par éclusées;5.53000020980835;20000000;2.70000004768372;"0,530000";2;Pelton;Concédée;2021-12-31;264
09219001;AUGISTROU;EXPL;09219;Orgibet;SOCIETE CIVILE IMMOBILIERE ROBIN'S;532132.56;6205843.22;0;Ouvrage fonctionnant au fil de l'eau;0.175999999046326;;;;;;;;
09220001;ORLU;EXPL;09220;Orlu;ELECTRICITE DE FRANCE;610677.79;6177231.04;0;Ouvrage de type Lac;88.5999984741211;95205936;11;"2,200000";2;Pelton;Concédée;2035-12-31;972.900024414062
09223001;LE BOCARD;EXPL;09223;Oust;SARL LE BOCARD;555464.44;6197556;0;Ouvrage fonctionnant au fil de l'eau;0.119999997317791;;;;;;;;4.5
09228001;CASTELET;EXPL;09228;Perles-et-Castelet;ELECTRICITE DE FRANCE;600714;6183142;0;Ouvrage fonctionnant au fil de l'eau;2.40000009536743;7118667;14;"0,056000";4;Francis;Autorisée;1994-10-16;31
09235001;Moulin Aragon;EXPL;09235;Prat-Bonrepaux;MOULIN DES ILLES;539271.1;6217646;0;Ouvrage fonctionnant au fil de l'eau;0.391999989748001;1782852;20;;;;Autorisée;2036-02-20;2
09235002;Usine De Bonrepaux;EXPL;09235;Prat-Bonrepaux;MOULIN DES ILLES;540013.94;6217489;0;Ouvrage fonctionnant au fil de l'eau;0.46000000834465;1860025;;;;;;;3.40000009536743
09240001;SABART;EXPL;09240;Quié;ELECTRICITE DE FRANCE;585409.5;6193907.59;0;Ouvrage fonctionnant au fil de l'eau;29;129692200;17;"0,495000";2;Pelton;Concédée;2004-12-31;227.300003051758
09241001;Centrale La Farge;EXPL;09136;Gourbit;LA FARGE;578647;6194989;0;Ouvrage fonctionnant par éclusées;0.800000011920929;3222299;;;;;Concédée (autorisable);2028-12-31;105
09241002;Moulin de Lour;EXPL;09241;Rabat-les-Trois-Seigneurs;BABY LASSERE SOLANGE;581580;6196010;0;Ouvrage fonctionnant au fil de l'eau;;1147018;;;;;;;21
09241003;Centrale La Freyte;EXPL;09241;Rabat-les-Trois-Seigneurs;SEFIREG;580478;6195626;0;Ouvrage fonctionnant par éclusées;1.14499998092651;3900119;1.5;;;;Concédée (autorisable);2028-12-31;85
09245001;Centrale de Las Mijanes;EXPL;09245;Rieux-de-Pelleport;SOCIETE HYDROELECTRIQUE DE LA MOYENNE ARIEGE;587505.25;6219142;0;Ouvrage fonctionnant au fil de l'eau;1.70000004768372;6098012;;;;;;;4.80000019073486
09261001;Centrale Paletes;EXPL;09261;Saint-Girons;FORCES MOTRICES DE PALETES;549969.25;6210035;0;Ouvrage fonctionnant au fil de l'eau;;2887273;;;;;;;5.19999980926514
09261002;Centrale de Ledar;EXPL;09261;Saint-Girons;PYRENEES HYDRO;547358.75;6210657.5;0;Ouvrage fonctionnant par éclusées;3;13909903;;;;;Concédée (autorisable);;36.8499984741211
