,Optimal_Window,Max_Correlation
FR10,152,0.51913601699251
FRB0,73,0.5801237072693273
FRC1,57,0.5477222491317509
FRC2,57,0.6159269581597647
FRF2,157,0.542688319011552
FRF3,152,0.5335550566522953
FRG0,108,0.5598009163694999
FRH0,180,0.5601922265179845
FRI1,59,0.6286492329472625
FRI2,58,0.650415776740347
FRI3,115,0.6516195896423378
FRJ2,54,0.5672957668206466
FRK1,53,0.599132001198377
FRK2,57,0.5489168733620838
